uid,datetime,city,state,country,shape,durationSeconds,durationHours/min,comments,date posted,latitude,longitude,Admin level 2,Admin level 1,parsedCountry
UFO125,10/10/2002 20:30,cincinnati,oh,us,other,1800,30 minutes,Large octagon blue lights on rim red center light hovers over downtown Cincinnati thursday October 10.,10/15/2002,39.1619444,-84.4569444,Hamilton County,Ohio,United States of America
UFO126,10/10/2002 21:00,portland,or,us,circle,120,2min,The LIGHT is the TRUTH&#33,12/16/2005,45.5236111,-122.675,Multnomah County,Oregon,United States of America
UFO127,10/10/2002 22:00,bahamas,,,egg,0,,we are sitting outside and commenting on all the air traffic tonight. over to the east we were watching what we thought a plane but nev,10/15/2002,25.03428,-77.39628,,New Providence,The Bahamas
UFO128,10/10/2002 22:00,burnie (tasmania) (australia),,au,cross,0,12,the craft was large and noisy,7/13/2005,-41.05584,145.903748,Burnie City Council,Tasmania,Australia
UFO129,10/10/2003 9:00,new buffulo,mi,,light,120,2 minute,Craft that suddenly vanishes and another one that shows up and does strange things at high speeds,5/24/2005,41.79393,-86.743915,Berrien County,Michigan,United States of America
UFO130,10/10/2003 12:00,alhambra,ca,us,oval,300,5 min,3 Black ovals in the sky and a floating movie camera,1/17/2004,34.0952778,-118.1261111,Los Angeles County,California,United States of America
UFO131,10/10/2003 18:00,indianapolis,in,us,sphere,1800,30 minutes,Sphere shape object with flashing bright white lights,10/15/2003,39.7683333,-86.1580556,Marion County,Indiana,United States of America
UFO132,10/10/2003 19:15,centreville,va,us,other,600,10 minutes,Aliens check out local high school football game.,10/15/2003,38.8402778,-77.4291667,Fairfax County,Virginia,United States of America
UFO133,10/10/2003 20:05,grand view,id,us,light,15,12-15 seconds,Bright light above Mt. Home AFB,10/15/2003,42.9897222,-116.0925,Owyhee County,Idaho,United States of America
UFO134,10/10/2003 20:25,temperance,mi,us,oval,18000,over 5 hours,pulsating green white and red object in the northwest sky at 45degrees,10/31/2003,41.7791667,-83.5688889,Monroe County,Michigan,United States of America
UFO135,10/10/2003 21:10,crescent beach,sc,us,formation,37800,1 1/2 hr.,For two consecutive nights&#44 we watched a pattern of lights before we were stunned by a discovery on the beach.,1/17/2004,33.8075,-78.7011111,Horry County,South Carolina,United States of America
UFO136,10/10/2003 22:00,albuquerque,nm,us,light,180,3 minutes,Three bright lights that were huddled together than began to seperate and disappeared.,2/1/2007,35.0844444,-106.6505556,Bernalillo County,New Mexico,United States of America
UFO137,10/10/2003 23:00,bickerton (near wetherby) (uk/england),,,unknown,2700,45minutes,two bright&#44 but fuzzy lights going in a hovering circle about 200 yards of the ground&#44 with a grey cloud above them,10/15/2003,53.070884,-2.736506,Cheshire East,England,United Kingdom
UFO138,10/10/2003 23:25,gleason,wi,us,sphere,1800,30min,UFO Contact&#44 Amazing close sighting,9/2/2005,45.3088889,-89.4963889,Lincoln County,Wisconsin,United States of America
UFO139,10/10/2004 2:50,mahwah,nj,us,triangle,180,2 - 3 minutes,Triangle shaped flying&#44 hovering U.F.O. witnessed over Sheraton Hotel in Mahwah&#44 NJ. on 10/10/04.,12/12/2011,41.0886111,-74.1441667,Bergen County,New Jersey,United States of America
UFO140,10/10/2004 3:30,worthington st. forest,nj,,other,2700,45 min,witnessed a large object and an intense red light that illumiated the object.,10/27/2004,40.058324,-74.405661,Ocean County,New Jersey,United States of America
UFO141,10/10/2004 3:50,portage la prairie (canada),mb,ca,changing,1200,20minutes,Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada,10/27/2004,49.966667,-98.3,Division No. 9,Manitoba,Canada
UFO142,10/10/2004 4:18,terre haute,in,us,sphere,5,5 seconds,silently&#44 it came over my head from behind; as I was laying on my back. About the size of a thumbnail at arms length&#44 was a lite white,10/27/2004,39.4666667,-87.4138889,Vigo County,Indiana,United States of America
UFO143,10/10/2004 8:30,indianapolis,in,us,oval,15,15 seconds,((NUFORC Note:  Possible sighting of a contrail??  PD)),10/27/2004,39.7683333,-86.1580556,Marion County,Indiana,United States of America
UFO144,10/10/2004 9:45,nobel (canada),on,ca,unknown,300,5:00,Floating Red Object,10/27/2004,45.416667,-80.1,Parry Sound District,Ontario,Canada
UFO145,10/10/2004 14:00,morgantown,wv,us,circle,10,10 sec,Solid round silver ball passing over at about 3000MSL.,5/24/2005,39.6294444,-79.9561111,Monongalia County,West Virginia,United States of America
UFO146,10/10/2004 15:00,berkeley,ca,us,unknown,180,3 minutes,While driving my car in the mid afternoon of a day in the fall of 2004 on HYW 580 East-bound I had just crossed the San Rafael / Richmo,5/24/2005,37.8716667,-122.2716667,Alameda County,California,United States of America
UFO147,10/10/2004 15:00,rock island,il,us,sphere,3600,1 hour,The sky was clear  and the objects at times appeared to rotate slowly.,10/27/2004,41.5094444,-90.5786111,Rock Island County,Illinois,United States of America
UFO148,10/10/2004 15:20,kedainiai (lithuania),,,oval,240,4min,6 oval light objects very quickly rounded under the dark cloud for a some minutes ((NUFORC Note:  Possible advertising lights??  PD)),10/27/2004,55.288131,23.957728,Kedainiu rajono savivaldybe,Kauno apskritis,Lithuania
UFO149,10/10/2004 19:00,chateauqua,ny,,formation,1200,20 min,4 bright circles in a half rainbow formation with a longer bright strip at the top of the formation,10/27/2004,42.209774,-79.466844,Chautauqua County,New York,United States of America
UFO150,10/10/2004 19:00,ripley,ny,us,circle,900,15 min,7 red/orange stationary objects appeared over Lake Erie on 10/10/04 for 15 minutes and then all disappeared at once.,10/27/2004,42.2669444,-79.7108333,Chautauqua County,New York,United States of America
UFO151,10/10/2004 21:00,faribault,mn,us,flash,900,1/2 hour,Metor or craft descending then sudden flash of light,10/27/2004,44.295,-93.2686111,Rice County,Minnesota,United States of America
UFO152,10/10/2004 21:00,mansfield,oh,us,light,7200,a few hours,Several UFO&#39s&#44 one bigger one flew right over the car.,10/27/2004,40.7583333,-82.5155556,Richland County,Ohio,United States of America
UFO153,10/10/2004 22:00,columbia,mo,us,light,60,1 min,A light moved across the sky in a zig zag way then straightened out and went straight out into space in a matter of seconds.,11/28/2007,38.9516667,-92.3338889,Boone County,Missouri,United States of America
